date,open,high,low,close,volume,oi,source
2026-03-30T11:43:00+05:30,28.43,28.43,28.43,28.43,0,0,real
2026-03-30T11:44:00+05:30,28.45,28.45,28.45,28.45,0,0,real
2026-03-30T11:45:00+05:30,28.49,28.49,28.49,28.49,0,0,real
2026-03-30T11:46:00+05:30,28.49,28.49,28.49,28.49,0,0,real
2026-03-30T11:47:00+05:30,28.51,28.51,28.51,28.51,0,0,real
2026-03-30T11:48:00+05:30,28.5,28.5,28.5,28.5,0,0,real
2026-03-30T11:49:00+05:30,28.49,28.49,28.49,28.49,0,0,real
2026-03-30T11:50:00+05:30,28.48,28.48,28.48,28.48,0,0,real
2026-03-30T11:51:00+05:30,28.45,28.45,28.45,28.45,0,0,real
2026-03-30T11:52:00+05:30,28.45,28.45,28.45,28.45,0,0,real
2026-03-30T11:53:00+05:30,28.47,28.47,28.47,28.47,0,0,real
2026-03-30T11:54:00+05:30,28.42,28.42,28.42,28.42,0,0,real
2026-03-30T11:55:00+05:30,28.44,28.44,28.44,28.44,0,0,real
2026-03-30T11:56:00+05:30,28.43,28.43,28.43,28.43,0,0,real
2026-03-30T11:57:00+05:30,28.4,28.4,28.4,28.4,0,0,real
2026-03-30T11:58:00+05:30,28.41,28.41,28.41,28.41,0,0,real
2026-03-30T11:59:00+05:30,28.39,28.39,28.39,28.39,0,0,real
2026-03-30T12:00:00+05:30,28.38,28.38,28.38,28.38,0,0,real
2026-03-30T12:01:00+05:30,28.31,28.31,28.31,28.31,0,0,real
2026-03-30T12:02:00+05:30,28.23,28.23,28.23,28.23,0,0,real
2026-03-30T12:03:00+05:30,28.18,28.18,28.18,28.18,0,0,real
2026-03-30T12:04:00+05:30,28.21,28.21,28.21,28.21,0,0,real
2026-03-30T12:05:00+05:30,28.13,28.13,28.13,28.13,0,0,real
2026-03-30T12:06:00+05:30,28.07,28.07,28.07,28.07,0,0,real
2026-03-30T12:07:00+05:30,28.13,28.13,28.13,28.13,0,0,real
2026-03-30T12:08:00+05:30,28.15,28.15,28.15,28.15,0,0,real
2026-03-30T12:09:00+05:30,28.2,28.2,28.2,28.2,0,0,real
2026-03-30T12:10:00+05:30,28.2,28.2,28.2,28.2,0,0,real
2026-03-30T12:11:00+05:30,28.17,28.17,28.17,28.17,0,0,real
2026-03-30T12:12:00+05:30,28.16,28.16,28.16,28.16,0,0,real
2026-03-30T12:13:00+05:30,28.22,28.22,28.22,28.22,0,0,real
2026-03-30T12:14:00+05:30,28.19,28.19,28.19,28.19,0,0,real
2026-03-30T12:15:00+05:30,28.23,28.23,28.23,28.23,0,0,real
2026-03-30T12:16:00+05:30,28.22,28.22,28.22,28.22,0,0,real
